;
; MOS Technology 6502 registers
;
; layout
; <name>,<value>,<stdname>,<stabidx>,<dwarfidx>
RZW117,$0103017b,rzw117,-1,-1
RZW117L,$0101017b,rzw117l,-1,-1
RZW117H,$0102017b,rzw117h,-1,-1
RZW118,$0103017c,rzw118,-1,-1
RZW118L,$0101017c,rzw118l,-1,-1
RZW118H,$0102017c,rzw118h,-1,-1
RZW119,$0103017d,rzw119,-1,-1
RZW119L,$0101017d,rzw119l,-1,-1
RZW119H,$0102017d,rzw119h,-1,-1
RZW120,$0103017e,rzw120,-1,-1
RZW120L,$0101017e,rzw120l,-1,-1
RZW120H,$0102017e,rzw120h,-1,-1
RZW121,$0103017f,rzw121,-1,-1
RZW121L,$0101017f,rzw121l,-1,-1
RZW121H,$0102017f,rzw121h,-1,-1
RZW122,$01030180,rzw122,-1,-1
RZW122L,$01010180,rzw122l,-1,-1
RZW122H,$01020180,rzw122h,-1,-1
RZW123,$01030181,rzw123,-1,-1
RZW123L,$01010181,rzw123l,-1,-1
RZW123H,$01020181,rzw123h,-1,-1
RZW124,$01030182,rzw124,-1,-1
RZW124L,$01010182,rzw124l,-1,-1
RZW124H,$01020182,rzw124h,-1,-1
RZW125,$01030183,rzw125,-1,-1
RZW125L,$01010183,rzw125l,-1,-1
RZW125H,$01020183,rzw125h,-1,-1
RZW126,$01030184,rzw126,-1,-1
RZW126L,$01010184,rzw126l,-1,-1
RZW126H,$01020184,rzw126h,-1,-1
RZW127,$01030185,rzw127,-1,-1
RZW127L,$01010185,rzw127l,-1,-1
RZW127H,$01020185,rzw127h,-1,-1
RZW128,$01030186,rzw128,-1,-1
RZW128L,$01010186,rzw128l,-1,-1
RZW128H,$01020186,rzw128h,-1,-1
RZW129,$01030187,rzw129,-1,-1
RZW129L,$01010187,rzw129l,-1,-1
RZW129H,$01020187,rzw129h,-1,-1
RZW130,$01030188,rzw130,-1,-1
RZW130L,$01010188,rzw130l,-1,-1
RZW130H,$01020188,rzw130h,-1,-1
RZW131,$01030189,rzw131,-1,-1
RZW131L,$01010189,rzw131l,-1,-1
RZW131H,$01020189,rzw131h,-1,-1
RZW132,$0103018a,rzw132,-1,-1
RZW132L,$0101018a,rzw132l,-1,-1
RZW132H,$0102018a,rzw132h,-1,-1
RZW133,$0103018b,rzw133,-1,-1
RZW133L,$0101018b,rzw133l,-1,-1
RZW133H,$0102018b,rzw133h,-1,-1
RZW134,$0103018c,rzw134,-1,-1
RZW134L,$0101018c,rzw134l,-1,-1
RZW134H,$0102018c,rzw134h,-1,-1
RZW135,$0103018d,rzw135,-1,-1
RZW135L,$0101018d,rzw135l,-1,-1
RZW135H,$0102018d,rzw135h,-1,-1
RZW136,$0103018e,rzw136,-1,-1
RZW136L,$0101018e,rzw136l,-1,-1
RZW136H,$0102018e,rzw136h,-1,-1
RZW137,$0103018f,rzw137,-1,-1
RZW137L,$0101018f,rzw137l,-1,-1
RZW137H,$0102018f,rzw137h,-1,-1
RZW138,$01030190,rzw138,-1,-1
RZW138L,$01010190,rzw138l,-1,-1
RZW138H,$01020190,rzw138h,-1,-1
RZW139,$01030191,rzw139,-1,-1
RZW139L,$01010191,rzw139l,-1,-1
RZW139H,$01020191,rzw139h,-1,-1
RZW140,$01030192,rzw140,-1,-1
RZW140L,$01010192,rzw140l,-1,-1
RZW140H,$01020192,rzw140h,-1,-1
RZW141,$01030193,rzw141,-1,-1
RZW141L,$01010193,rzw141l,-1,-1
RZW141H,$01020193,rzw141h,-1,-1
RZW142,$01030194,rzw142,-1,-1
RZW142L,$01010194,rzw142l,-1,-1
RZW142H,$01020194,rzw142h,-1,-1
RZW143,$01030195,rzw143,-1,-1
RZW143L,$01010195,rzw143l,-1,-1
RZW143H,$01020195,rzw143h,-1,-1
RZW144,$01030196,rzw144,-1,-1
RZW144L,$01010196,rzw144l,-1,-1
RZW144H,$01020196,rzw144h,-1,-1
RZW145,$01030197,rzw145,-1,-1
RZW145L,$01010197,rzw145l,-1,-1
RZW145H,$01020197,rzw145h,-1,-1
RZW146,$01030198,rzw146,-1,-1
RZW146L,$01010198,rzw146l,-1,-1
RZW146H,$01020198,rzw146h,-1,-1
RZW147,$01030199,rzw147,-1,-1
RZW147L,$01010199,rzw147l,-1,-1
RZW147H,$01020199,rzw147h,-1,-1
RZW148,$0103019a,rzw148,-1,-1
RZW148L,$0101019a,rzw148l,-1,-1
RZW148H,$0102019a,rzw148h,-1,-1
RZW149,$0103019b,rzw149,-1,-1
RZW149L,$0101019b,rzw149l,-1,-1
RZW149H,$0102019b,rzw149h,-1,-1
RZW150,$0103019c,rzw150,-1,-1
RZW150L,$0101019c,rzw150l,-1,-1
RZW150H,$0102019c,rzw150h,-1,-1
RZW151,$0103019d,rzw151,-1,-1
RZW151L,$0101019d,rzw151l,-1,-1
RZW151H,$0102019d,rzw151h,-1,-1
RZW152,$0103019e,rzw152,-1,-1
RZW152L,$0101019e,rzw152l,-1,-1
RZW152H,$0102019e,rzw152h,-1,-1
RZW153,$0103019f,rzw153,-1,-1
RZW153L,$0101019f,rzw153l,-1,-1
RZW153H,$0102019f,rzw153h,-1,-1
RZW154,$010301a0,rzw154,-1,-1
RZW154L,$010101a0,rzw154l,-1,-1
RZW154H,$010201a0,rzw154h,-1,-1
RZW155,$010301a1,rzw155,-1,-1
RZW155L,$010101a1,rzw155l,-1,-1
RZW155H,$010201a1,rzw155h,-1,-1
RZW156,$010301a2,rzw156,-1,-1
RZW156L,$010101a2,rzw156l,-1,-1
RZW156H,$010201a2,rzw156h,-1,-1
RZW157,$010301a3,rzw157,-1,-1
RZW157L,$010101a3,rzw157l,-1,-1
RZW157H,$010201a3,rzw157h,-1,-1
RZW158,$010301a4,rzw158,-1,-1
RZW158L,$010101a4,rzw158l,-1,-1
RZW158H,$010201a4,rzw158h,-1,-1
RZW159,$010301a5,rzw159,-1,-1
RZW159L,$010101a5,rzw159l,-1,-1
RZW159H,$010201a5,rzw159h,-1,-1
RZW160,$010301a6,rzw160,-1,-1
RZW160L,$010101a6,rzw160l,-1,-1
RZW160H,$010201a6,rzw160h,-1,-1
RZW161,$010301a7,rzw161,-1,-1
RZW161L,$010101a7,rzw161l,-1,-1
RZW161H,$010201a7,rzw161h,-1,-1
RZW162,$010301a8,rzw162,-1,-1
RZW162L,$010101a8,rzw162l,-1,-1
RZW162H,$010201a8,rzw162h,-1,-1
RZW163,$010301a9,rzw163,-1,-1
RZW163L,$010101a9,rzw163l,-1,-1
RZW163H,$010201a9,rzw163h,-1,-1
RZW164,$010301aa,rzw164,-1,-1
RZW164L,$010101aa,rzw164l,-1,-1
RZW164H,$010201aa,rzw164h,-1,-1
RZW165,$010301ab,rzw165,-1,-1
RZW165L,$010101ab,rzw165l,-1,-1
RZW165H,$010201ab,rzw165h,-1,-1
RZW166,$010301ac,rzw166,-1,-1
RZW166L,$010101ac,rzw166l,-1,-1
RZW166H,$010201ac,rzw166h,-1,-1
RZW167,$010301ad,rzw167,-1,-1
RZW167L,$010101ad,rzw167l,-1,-1
RZW167H,$010201ad,rzw167h,-1,-1
RZW168,$010301ae,rzw168,-1,-1
RZW168L,$010101ae,rzw168l,-1,-1
RZW168H,$010201ae,rzw168h,-1,-1
RZW169,$010301af,rzw169,-1,-1
RZW169L,$010101af,rzw169l,-1,-1
RZW169H,$010201af,rzw169h,-1,-1
RZW170,$010301b0,rzw170,-1,-1
RZW170L,$010101b0,rzw170l,-1,-1
RZW170H,$010201b0,rzw170h,-1,-1
RZW171,$010301b1,rzw171,-1,-1
RZW171L,$010101b1,rzw171l,-1,-1
RZW171H,$010201b1,rzw171h,-1,-1
RZW172,$010301b2,rzw172,-1,-1
RZW172L,$010101b2,rzw172l,-1,-1
RZW172H,$010201b2,rzw172h,-1,-1
RZW173,$010301b3,rzw173,-1,-1
RZW173L,$010101b3,rzw173l,-1,-1
RZW173H,$010201b3,rzw173h,-1,-1
RZW174,$010301b4,rzw174,-1,-1
RZW174L,$010101b4,rzw174l,-1,-1
RZW174H,$010201b4,rzw174h,-1,-1
RZW175,$010301b5,rzw175,-1,-1
RZW175L,$010101b5,rzw175l,-1,-1
RZW175H,$010201b5,rzw175h,-1,-1
RZW176,$010301b6,rzw176,-1,-1
RZW176L,$010101b6,rzw176l,-1,-1
RZW176H,$010201b6,rzw176h,-1,-1
RZW177,$010301b7,rzw177,-1,-1
RZW177L,$010101b7,rzw177l,-1,-1
RZW177H,$010201b7,rzw177h,-1,-1
RZW178,$010301b8,rzw178,-1,-1
RZW178L,$010101b8,rzw178l,-1,-1
RZW178H,$010201b8,rzw178h,-1,-1
RZW179,$010301b9,rzw179,-1,-1
RZW179L,$010101b9,rzw179l,-1,-1
RZW179H,$010201b9,rzw179h,-1,-1
RZW180,$010301ba,rzw180,-1,-1
RZW180L,$010101ba,rzw180l,-1,-1
RZW180H,$010201ba,rzw180h,-1,-1
RZW181,$010301bb,rzw181,-1,-1
RZW181L,$010101bb,rzw181l,-1,-1
RZW181H,$010201bb,rzw181h,-1,-1
RZW182,$010301bc,rzw182,-1,-1
RZW182L,$010101bc,rzw182l,-1,-1
RZW182H,$010201bc,rzw182h,-1,-1
RZW183,$010301bd,rzw183,-1,-1
RZW183L,$010101bd,rzw183l,-1,-1
RZW183H,$010201bd,rzw183h,-1,-1
RZW184,$010301be,rzw184,-1,-1
RZW184L,$010101be,rzw184l,-1,-1
RZW184H,$010201be,rzw184h,-1,-1
RZW185,$010301bf,rzw185,-1,-1
RZW185L,$010101bf,rzw185l,-1,-1
RZW185H,$010201bf,rzw185h,-1,-1
RZW186,$010301c0,rzw186,-1,-1
RZW186L,$010101c0,rzw186l,-1,-1
RZW186H,$010201c0,rzw186h,-1,-1
RZW187,$010301c1,rzw187,-1,-1
RZW187L,$010101c1,rzw187l,-1,-1
RZW187H,$010201c1,rzw187h,-1,-1
RZW188,$010301c2,rzw188,-1,-1
RZW188L,$010101c2,rzw188l,-1,-1
RZW188H,$010201c2,rzw188h,-1,-1
RZW189,$010301c3,rzw189,-1,-1
RZW189L,$010101c3,rzw189l,-1,-1
RZW189H,$010201c3,rzw189h,-1,-1
RZW190,$010301c4,rzw190,-1,-1
RZW190L,$010101c4,rzw190l,-1,-1
RZW190H,$010201c4,rzw190h,-1,-1
RZW191,$010301c5,rzw191,-1,-1
RZW191L,$010101c5,rzw191l,-1,-1
RZW191H,$010201c5,rzw191h,-1,-1
RZW192,$010301c6,rzw192,-1,-1
RZW192L,$010101c6,rzw192l,-1,-1
RZW192H,$010201c6,rzw192h,-1,-1
RZW193,$010301c7,rzw193,-1,-1
RZW193L,$010101c7,rzw193l,-1,-1
RZW193H,$010201c7,rzw193h,-1,-1
RZW194,$010301c8,rzw194,-1,-1
RZW194L,$010101c8,rzw194l,-1,-1
RZW194H,$010201c8,rzw194h,-1,-1
RZW195,$010301c9,rzw195,-1,-1
RZW195L,$010101c9,rzw195l,-1,-1
RZW195H,$010201c9,rzw195h,-1,-1
RZW196,$010301ca,rzw196,-1,-1
RZW196L,$010101ca,rzw196l,-1,-1
RZW196H,$010201ca,rzw196h,-1,-1
RZW197,$010301cb,rzw197,-1,-1
RZW197L,$010101cb,rzw197l,-1,-1
RZW197H,$010201cb,rzw197h,-1,-1
RZW198,$010301cc,rzw198,-1,-1
RZW198L,$010101cc,rzw198l,-1,-1
RZW198H,$010201cc,rzw198h,-1,-1
RZW199,$010301cd,rzw199,-1,-1
RZW199L,$010101cd,rzw199l,-1,-1
RZW199H,$010201cd,rzw199h,-1,-1
RZW200,$010301ce,rzw200,-1,-1
RZW200L,$010101ce,rzw200l,-1,-1
RZW200H,$010201ce,rzw200h,-1,-1
RZW201,$010301cf,rzw201,-1,-1
RZW201L,$010101cf,rzw201l,-1,-1
RZW201H,$010201cf,rzw201h,-1,-1
RZW202,$010301d0,rzw202,-1,-1
RZW202L,$010101d0,rzw202l,-1,-1
RZW202H,$010201d0,rzw202h,-1,-1
RZW203,$010301d1,rzw203,-1,-1
RZW203L,$010101d1,rzw203l,-1,-1
RZW203H,$010201d1,rzw203h,-1,-1
RZW204,$010301d2,rzw204,-1,-1
RZW204L,$010101d2,rzw204l,-1,-1
RZW204H,$010201d2,rzw204h,-1,-1
RZW205,$010301d3,rzw205,-1,-1
RZW205L,$010101d3,rzw205l,-1,-1
RZW205H,$010201d3,rzw205h,-1,-1
RZW206,$010301d4,rzw206,-1,-1
RZW206L,$010101d4,rzw206l,-1,-1
RZW206H,$010201d4,rzw206h,-1,-1
RZW207,$010301d5,rzw207,-1,-1
RZW207L,$010101d5,rzw207l,-1,-1
RZW207H,$010201d5,rzw207h,-1,-1
RZW208,$010301d6,rzw208,-1,-1
RZW208L,$010101d6,rzw208l,-1,-1
RZW208H,$010201d6,rzw208h,-1,-1
RZW209,$010301d7,rzw209,-1,-1
RZW209L,$010101d7,rzw209l,-1,-1
RZW209H,$010201d7,rzw209h,-1,-1
RZW210,$010301d8,rzw210,-1,-1
RZW210L,$010101d8,rzw210l,-1,-1
RZW210H,$010201d8,rzw210h,-1,-1
RZW211,$010301d9,rzw211,-1,-1
RZW211L,$010101d9,rzw211l,-1,-1
RZW211H,$010201d9,rzw211h,-1,-1
RZW212,$010301da,rzw212,-1,-1
RZW212L,$010101da,rzw212l,-1,-1
RZW212H,$010201da,rzw212h,-1,-1
RZW213,$010301db,rzw213,-1,-1
RZW213L,$010101db,rzw213l,-1,-1
RZW213H,$010201db,rzw213h,-1,-1
RZW214,$010301dc,rzw214,-1,-1
RZW214L,$010101dc,rzw214l,-1,-1
RZW214H,$010201dc,rzw214h,-1,-1
RZW215,$010301dd,rzw215,-1,-1
RZW215L,$010101dd,rzw215l,-1,-1
RZW215H,$010201dd,rzw215h,-1,-1
RZW216,$010301de,rzw216,-1,-1
RZW216L,$010101de,rzw216l,-1,-1
RZW216H,$010201de,rzw216h,-1,-1
RZW217,$010301df,rzw217,-1,-1
RZW217L,$010101df,rzw217l,-1,-1
RZW217H,$010201df,rzw217h,-1,-1
RZW218,$010301e0,rzw218,-1,-1
RZW218L,$010101e0,rzw218l,-1,-1
RZW218H,$010201e0,rzw218h,-1,-1
RZW219,$010301e1,rzw219,-1,-1
RZW219L,$010101e1,rzw219l,-1,-1
RZW219H,$010201e1,rzw219h,-1,-1
RZW220,$010301e2,rzw220,-1,-1
RZW220L,$010101e2,rzw220l,-1,-1
RZW220H,$010201e2,rzw220h,-1,-1
RZW221,$010301e3,rzw221,-1,-1
RZW221L,$010101e3,rzw221l,-1,-1
RZW221H,$010201e3,rzw221h,-1,-1
RZW222,$010301e4,rzw222,-1,-1
RZW222L,$010101e4,rzw222l,-1,-1
RZW222H,$010201e4,rzw222h,-1,-1
RZW223,$010301e5,rzw223,-1,-1
RZW223L,$010101e5,rzw223l,-1,-1
RZW223H,$010201e5,rzw223h,-1,-1
RZW224,$010301e6,rzw224,-1,-1
RZW224L,$010101e6,rzw224l,-1,-1
RZW224H,$010201e6,rzw224h,-1,-1
RZW225,$010301e7,rzw225,-1,-1
RZW225L,$010101e7,rzw225l,-1,-1
RZW225H,$010201e7,rzw225h,-1,-1
RZW226,$010301e8,rzw226,-1,-1
RZW226L,$010101e8,rzw226l,-1,-1
RZW226H,$010201e8,rzw226h,-1,-1
RZW227,$010301e9,rzw227,-1,-1
RZW227L,$010101e9,rzw227l,-1,-1
RZW227H,$010201e9,rzw227h,-1,-1
RZW228,$010301ea,rzw228,-1,-1
RZW228L,$010101ea,rzw228l,-1,-1
RZW228H,$010201ea,rzw228h,-1,-1
RZW229,$010301eb,rzw229,-1,-1
RZW229L,$010101eb,rzw229l,-1,-1
RZW229H,$010201eb,rzw229h,-1,-1
RZW230,$010301ec,rzw230,-1,-1
RZW230L,$010101ec,rzw230l,-1,-1
RZW230H,$010201ec,rzw230h,-1,-1
RZW231,$010301ed,rzw231,-1,-1
RZW231L,$010101ed,rzw231l,-1,-1
RZW231H,$010201ed,rzw231h,-1,-1
RZW232,$010301ee,rzw232,-1,-1
RZW232L,$010101ee,rzw232l,-1,-1
RZW232H,$010201ee,rzw232h,-1,-1
RZW233,$010301ef,rzw233,-1,-1
RZW233L,$010101ef,rzw233l,-1,-1
RZW233H,$010201ef,rzw233h,-1,-1
RZW234,$010301f0,rzw234,-1,-1
RZW234L,$010101f0,rzw234l,-1,-1
RZW234H,$010201f0,rzw234h,-1,-1
RZW235,$010301f1,rzw235,-1,-1
RZW235L,$010101f1,rzw235l,-1,-1
RZW235H,$010201f1,rzw235h,-1,-1
RZW236,$010301f2,rzw236,-1,-1
RZW236L,$010101f2,rzw236l,-1,-1
RZW236H,$010201f2,rzw236h,-1,-1
RZW237,$010301f3,rzw237,-1,-1
RZW237L,$010101f3,rzw237l,-1,-1
RZW237H,$010201f3,rzw237h,-1,-1
RZW238,$010301f4,rzw238,-1,-1
RZW238L,$010101f4,rzw238l,-1,-1
RZW238H,$010201f4,rzw238h,-1,-1
RZW239,$010301f5,rzw239,-1,-1
RZW239L,$010101f5,rzw239l,-1,-1
RZW239H,$010201f5,rzw239h,-1,-1
RZW240,$010301f6,rzw240,-1,-1
RZW240L,$010101f6,rzw240l,-1,-1
RZW240H,$010201f6,rzw240h,-1,-1
RZW241,$010301f7,rzw241,-1,-1
RZW241L,$010101f7,rzw241l,-1,-1
RZW241H,$010201f7,rzw241h,-1,-1
RZW242,$010301f8,rzw242,-1,-1
RZW242L,$010101f8,rzw242l,-1,-1
RZW242H,$010201f8,rzw242h,-1,-1
RZW243,$010301f9,rzw243,-1,-1
RZW243L,$010101f9,rzw243l,-1,-1
RZW243H,$010201f9,rzw243h,-1,-1
RZW244,$010301fa,rzw244,-1,-1
RZW244L,$010101fa,rzw244l,-1,-1
RZW244H,$010201fa,rzw244h,-1,-1
RZW245,$010301fb,rzw245,-1,-1
RZW245L,$010101fb,rzw245l,-1,-1
RZW245H,$010201fb,rzw245h,-1,-1
RZW246,$010301fc,rzw246,-1,-1
RZW246L,$010101fc,rzw246l,-1,-1
RZW246H,$010201fc,rzw246h,-1,-1
RZW247,$010301fd,rzw247,-1,-1
RZW247L,$010101fd,rzw247l,-1,-1
RZW247H,$010201fd,rzw247h,-1,-1
RZW248,$010301fe,rzw248,-1,-1
RZW248L,$010101fe,rzw248l,-1,-1
RZW248H,$010201fe,rzw248h,-1,-1
RZW249,$010301ff,rzw249,-1,-1
RZW249L,$010101ff,rzw249l,-1,-1
RZW249H,$010201ff,rzw249h,-1,-1
RZW250,$01030200,rzw250,-1,-1
RZW250L,$01010200,rzw250l,-1,-1
RZW250H,$01020200,rzw250h,-1,-1
RZW251,$01030201,rzw251,-1,-1
RZW251L,$01010201,rzw251l,-1,-1
RZW251H,$01020201,rzw251h,-1,-1
RZW252,$01030202,rzw252,-1,-1
RZW252L,$01010202,rzw252l,-1,-1
RZW252H,$01020202,rzw252h,-1,-1
RZW253,$01030203,rzw253,-1,-1
RZW253L,$01010203,rzw253l,-1,-1
RZW253H,$01020203,rzw253h,-1,-1
RZW254,$01030204,rzw254,-1,-1
RZW254L,$01010204,rzw254l,-1,-1
RZW254H,$01020204,rzw254h,-1,-1

